fileName;pathToFile;logging;exceptionExhaustive;exceptionBaseHeuristic;exceptionIncrementalHeuristic;exceptionAdvancedHeuristic;totalAmountSolutionsExhaustive;totalAmountSolutionsBaseHeuristic;totalAmountSolutionsIncrementalHeuristic;totalAmountSolutionsAdvancedHeuristic;amountCheapestSolutionsExhaustive;amountCheapestSolutionsBaseHeuristic;amountSolutionsIncrementalHeuristic;amountCheapestSolutionsAdvancedHeuristic;costCheapestSolutionExhaustive;costCheapestSolutionBaseHeuristic;costCheapestSolutionIncrementalHeuristic;costCheapestSolutionAdvancedHeuristic;exhaustiveCombsGenInSec;exhaustiveCalcMeasureInSec;exhaustiveExecutionTimeInSec;baseHeuristicCombsGenInSec;baseHeuristicCalcMeasureInSec;baseHeuristicExecutionTimeInSec;incrementalHeuristicCombsGenInSec;incrementalHeuristicCalcMeasureInSec;incrementalHeuristicExecutionTimeInSec;advancedHeuristicCombsGenInSec;advancedHeuristicCalcMeasureInSec;advancedHeuristicExecutionTimeInSec;amountReaders;amountWriters;amountDataObjects;averageAmountDataObjectsPerDecision;amountReadersPerDataObject;amountWritersPerDataObject;amountExclusiveGateways;amountParallelGateways;amountTasks;amountElements;amountSumAddActors;averageAmountAddActors;privateSphereSize;averageSphereSum;pathsThroughProcess;amountMandConst;amountExclConst
randomProcessModel1_annotated1002.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel1_annotated1002.bpmn;null;null;null;null;null;282240;1;1;1;1680;1;1;1;27.25;27.25;27.25;28.25;0.039903498;10.94559706;10.98550056;3.63E-04;9.94E-05;4.62E-04;2.72E-04;6.98E-05;3.42E-04;0.001219526;4.88E-04;0.00170726;8;8;6;2;1.333333333;1.333333333;4;2;32;42;21;5.25;9;1.166666667;5;2;2
randomProcessModel28_annotated290.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel28_annotated290.bpmn;null;null;null;null;null;144;1;1;1;27;1;1;1;21.875;21.875;21.875;21.875;3.20E-04;0.013921862;0.014241813;2.95E-04;1.09E-04;4.04E-04;3.14E-04;1.24E-04;4.39E-04;3.83E-04;1.31E-04;5.14E-04;8;8;8;2;1;1;4;2;10;20;11;2.75;5;1.75;5;0;0
randomProcessModel294_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel294_annotated1.bpmn;null;null;null;null;null;36;1;1;1;36;1;1;1;0;0;0;0;3.48E-05;1.78E-05;5.25E-05;7.14E-05;1.16E-05;8.29E-05;8.26E-05;9.22E-06;9.18E-05;2.60E-04;1.28E-05;2.73E-04;4;26;1;1;4;26;3;0;46;54;16;5.333333333;7;0;4;0;0
randomProcessModel977_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel977_annotated1.bpmn;null;null;null;null;null;3;1;1;1;1;1;1;1;4;4;4;4;1.63E-04;1.57E-04;3.19E-04;2.21E-04;1.10E-04;3.31E-04;1.94E-04;7.13E-05;2.65E-04;2.14E-04;7.08E-05;2.84E-04;11;22;4;4;2.75;5.5;1;0;37;41;2;2;4;1.5;2;0;0
randomProcessModel322_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel322_annotated1.bpmn;null;null;null;null;null;15;1;1;1;1;1;1;1;27;27;27;27;2.49E-04;0.001092673;0.00134132;4.71E-04;2.15E-04;6.86E-04;3.50E-04;1.37E-04;4.87E-04;3.92E-04;1.34E-04;5.26E-04;18;18;8;8;2.25;2.25;1;0;61;65;4;4;7;1.5;2;0;0
randomProcessModel676_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel676_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;2;2;2;2;2.77E-05;1.81E-05;4.58E-05;5.40E-05;1.65E-05;7.05E-05;4.24E-05;1.54E-05;5.79E-05;6.00E-05;1.57E-05;7.57E-05;3;19;3;1.5;1;6.333333333;2;2;34;40;5;2.5;4;1;3;0;1
randomProcessModel405_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel405_annotated1.bpmn;null;null;null;null;null;1350;1;1;1;27;1;1;1;0;0;0;0;3.57E-04;0.004111084;0.004468227;8.62E-04;2.19E-05;8.84E-04;6.95E-04;1.98E-05;7.15E-04;0.002059521;1.93E-05;0.002078802;42;21;1;1;42;21;3;1;73;81;5;1.666666667;7;2;4;0;0
randomProcessModel313_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel313_annotated1.bpmn;null;null;null;null;null;3;1;1;1;1;1;1;1;5.5;5.5;5.5;5.5;1.05E-04;2.24E-04;3.29E-04;0.001197502;2.61E-04;0.001458282;5.49E-04;1.06E-04;6.54E-04;9.25E-04;1.05E-04;0.00103017;13;13;6;6;2.166666667;2.166666667;2;2;23;29;3;1.5;4;2.166666667;3;0;2
randomProcessModel90_annotated910.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel90_annotated910.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;9.5;9.5;9.5;9.5;1.94E-04;2.15E-04;4.09E-04;4.38E-04;1.54E-04;5.92E-04;4.26E-04;1.52E-04;5.78E-04;0.001571614;4.28E-04;0.00199998;20;20;5;5;4;4;2;0;35;41;5;2.5;4;1.4;4;0;1
randomProcessModel704_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel704_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;24;24;24;24;2.31E-04;2.80E-05;2.59E-04;3.79E-04;2.84E-05;4.07E-04;3.77E-04;2.82E-05;4.05E-04;0.001174057;5.63E-05;0.001230361;16;16;7;7;2.285714286;2.285714286;1;2;53;57;4;4;5;1.428571429;2;0;0
randomProcessModel838_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel838_annotated1.bpmn;null;null;null;null;null;120;1;1;1;20;1;1;1;15;15;15;15;8.41E-05;0.004317587;0.00440167;2.31E-04;8.31E-05;3.14E-04;2.26E-04;7.78E-05;3.04E-04;3.37E-04;7.65E-05;4.13E-04;6;5;5;2;1.2;1;3;1;24;32;9;3;7;1.2;4;0;2
randomProcessModel401_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel401_annotated1.bpmn;null;null;null;null;null;120;1;1;1;20;1;1;1;39;39;39;39;6.34E-04;0.046592292;0.047226048;8.85E-04;6.10E-04;0.001495106;8.52E-04;6.05E-04;0.001456401;0.002977312;8.69E-04;0.003845843;7;21;6;3.5;1.166666667;3.5;2;0;73;79;8;4;7;2;3;0;0
randomProcessModel170_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel170_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;0;0;0;0;1.37E-04;2.54E-04;3.91E-04;1.86E-04;8.88E-05;2.74E-04;1.84E-04;8.71E-05;2.71E-04;2.96E-04;7.69E-05;3.73E-04;8;3;3;3;2.666666667;1;2;2;15;21;2;1;2;2;3;0;0
